A̱o,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Total,"2,655,571","2,579,301","2,794,390","2,622,031","2,620,262","2,735,312","2,756,447","2,797,397","2,839,686","2,904,389","2,750,444","2,707,718","2,698,425","2,668,428","2,769,089","2,798,339","2,767,610","2,699,084","2,655,894","2,625,056","2,567,906","2,505,939","2,655,083","2,636,110","2,577,214","2,643,908","2,586,287","2,498,880","2,478,889","2,463,420","2,353,596","2,293,708","2,234,039","2,162,535",
Enero,"223,337","216,869","234,580","220,992","214,320","227,886","227,537","228,763","233,935","241,531","228,385","223,462","221,788","218,708","227,428","232,569","232,693","225,052","219,599","213,360","210,103","204,321","212,244","213,012","207,712","214,400","211,170","204,601","204,967","203,631","197,067","183,476","183,131","180,154",
Febrero,"200,827","195,118","209,794","202,778","193,936","204,489","203,678","209,048","212,098","216,371","204,359","200,029","195,744","196,177","201,026","209,246","204,104","198,180","195,914","191,982","185,905","182,526","189,482","193,439","184,358","190,572","187,836","184,716","181,093","180,212","173,495","170,477","161,843","155,843",
Marzo,"220,468","212,151","231,361","213,620","216,280","225,099","222,869","226,119","230,684","239,103","224,491","217,044","212,962","212,867","220,762","226,794","226,189","217,978","214,592","212,076","204,593","200,095","212,022","208,381","207,489","214,304","208,492","201,252","198,189","196,694","189,765","184,787","180,039","171,982",
Abril,"211,338","206,377","220,186","203,666","207,033","214,997","216,865","220,704","219,584","224,616","213,415","209,995","208,104","204,512","211,022","215,307","211,944","210,365","206,010","204,551","198,123","191,393","200,728","202,488","199,518","201,318","199,474","191,793","193,678","190,010","181,059","180,725","172,374","168,826",
Mayo,"223,865","215,411","232,519","215,183","219,691","229,751","230,302","231,999","233,347","238,981","226,391","219,439","220,259","214,572","225,068","227,642","226,154","218,122","216,190","213,545","206,097","203,782","214,262","211,490","204,887","210,754","208,416","201,150","199,183","197,475","187,342","180,578","180,021","174,884",
Junio,"219,531","211,924","229,294","213,103","217,503","224,257","224,369","231,408","232,125","238,615","224,395","215,048","217,219","214,278","223,161","227,097","221,448","216,276","214,233","211,051","206,463","201,541","211,908","210,131","206,162","209,126","205,432","200,145","195,689","193,933","186,147","179,249","178,024","169,808",
Julio,"224,318","221,166","234,053","220,478","223,878","231,744","232,566","237,449","241,261","247,536","234,005","231,197","232,187","229,501","239,353","240,695","235,845","233,608","227,159","223,603","219,843","214,373","226,271","225,618","221,013","223,265","220,490","214,657","211,667","207,216","198,308","192,086","188,859","183,167",
Agosto,"239,016","234,268","252,417","239,054","239,472","246,836","251,280","254,916","260,753","269,939","257,485","258,000","263,762","259,781","268,971","272,331","264,975","256,575","247,891","245,207","244,592","234,864","244,866","239,453","231,839","239,986","232,855","227,150","223,534","219,012","207,440","204,994","202,482","193,798",
Septiembre,"227,838","224,774","242,597","230,073","232,886","242,307","245,235","247,411","252,216","256,629","244,274","242,350","241,072","236,925","249,226","248,415","244,248","241,432","238,429","237,443","232,598","230,032","249,441","245,244","240,297","248,567","238,701","228,710","226,232","228,374","216,557","213,967","206,676","198,930",
Octubre,"225,872","218,999","239,779","225,733","228,978","235,857","243,425","244,884","247,900","251,855","239,094","239,278","238,276","234,750","243,105","239,754","243,095","238,101","234,805","234,295","227,611","224,456","246,872","241,366","234,052","243,056","230,952","223,683","223,073","224,566","212,538","209,817","203,896","196,258",
Noviembre,"214,276","206,231","228,443","214,062","209,135","220,673","225,611","229,629","235,011","235,264","223,242","221,848","219,680","220,128","226,718","223,433","225,169","217,951","215,708","216,072","213,153","207,026","223,731","221,930","216,672","222,001","216,776","208,518","208,005","207,896","197,564","193,515","187,035","181,695",
Diciembre,"221,100","214,165","237,116","220,620","215,808","230,126","231,591","234,079","239,585","242,691","230,087","229,154","226,415","225,592","232,580","233,155","231,075","224,186","223,831","220,977","217,984","210,927","222,635","222,713","222,184","225,756","225,103","211,245","212,571","214,062","206,137","199,723","189,544","187,092",
No especificado,"3,785","1,848","2,251","2,669","1,342","1,290","1,119",988,"1,187","1,258",821,874,957,637,669,"1,901",671,"1,258","1,533",894,841,603,621,845,"1,031",803,590,"1,260","1,008",339,177,314,115,98,